settlement_id,txn_ref,settled_amount,commission,platform_fee,settlement_date,payment_status
STL-001,TXN001,1519.05,79.95,47.97,2024-01-17,Completed
STL-002,TXN002,1234.05,64.95,38.97,2024-01-17,Completed
STL-003,TXN003,2277.15,119.85,71.91,2024-01-18,Completed
STL-004,TXN004,664.05,34.95,20.97,2024-01-18,Completed
STL-005,TXN005,948.10,49.90,29.94,2024-01-19,Completed
STL-006,TXN007,854.05,44.95,26.97,2024-01-20,Completed
STL-007,TXN008,758.10,39.90,23.94,2024-01-20,Completed
STL-008,TXN009,426.55,22.45,13.47,2024-01-21,Completed
STL-009,TXN010,1139.05,59.95,35.97,2024-01-21,Completed
STL-010,TXN011,759.05,39.95,23.97,2024-01-22,Completed
STL-011,TXN013,568.10,29.90,17.94,2024-01-23,Completed
STL-012,TXN014,424.65,22.35,13.41,2024-01-23,Completed
STL-013,TXN015,1044.05,54.95,32.97,2024-01-24,Completed
STL-014,TXN016,569.05,29.95,17.97,2024-01-24,Completed
STL-015,TXN017,378.10,19.90,11.94,2024-01-25,Completed
STL-016,TXN018,331.55,17.45,10.47,2024-01-25,Completed
STL-017,TXN020,2088.10,109.90,65.94,2024-01-26,Completed
STL-018,TXN025,1500.00,75.00,45.00,2024-01-26,Completed
STL-019,TXN026,2200.00,110.00,66.00,2024-01-27,Pending
STL-020,TXN027,850.00,42.50,25.50,2024-01-27,Pending
